Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
152,32,1,135,0,Some Random Commen with Id 152
153,32,1,153,9,Some Random Commen with Id 153
154,32,1,63,2,Some Random Commen with Id 154
155,33,2,113,5,Some Random Commen with Id 155
156,34,1,72,6,Some Random Commen with Id 156
157,34,1,103,7,Some Random Commen with Id 157
158,34,1,79,7,Some Random Commen with Id 158
159,34,1,78,6,Some Random Commen with Id 159
160,35,0,119,0,Some Random Commen with Id 160
161,35,0,78,8,Some Random Commen with Id 161
162,35,0,72,6,Some Random Commen with Id 162
163,35,0,8,4,Some Random Commen with Id 163
164,35,0,69,8,Some Random Commen with Id 164
165,35,0,194,3,Some Random Commen with Id 165
166,35,0,58,7,Some Random Commen with Id 166
167,36,7,181,6,Some Random Commen with Id 167
168,36,7,20,9,Some Random Commen with Id 168
169,36,7,58,0,Some Random Commen with Id 169
170,36,7,82,8,Some Random Commen with Id 170
171,36,7,16,0,Some Random Commen with Id 171
172,36,7,190,6,Some Random Commen with Id 172
173,37,4,155,4,Some Random Commen with Id 173
174,37,4,150,9,Some Random Commen with Id 174
175,38,8,185,8,Some Random Commen with Id 175
176,38,8,173,7,Some Random Commen with Id 176
177,38,8,180,6,Some Random Commen with Id 177
178,38,8,4,7,Some Random Commen with Id 178
179,38,8,159,3,Some Random Commen with Id 179
180,38,8,86,0,Some Random Commen with Id 180
181,38,8,183,3,Some Random Commen with Id 181
182,38,8,110,0,Some Random Commen with Id 182
183,38,8,105,8,Some Random Commen with Id 183
184,39,3,127,9,Some Random Commen with Id 184
185,39,3,117,7,Some Random Commen with Id 185
186,39,3,49,4,Some Random Commen with Id 186
187,39,3,120,2,Some Random Commen with Id 187
